c1,c1_context,c2,c2_context,match_type
pt. amerta indah otsuka,"PT Amerta Indah Otsuka is affiliation from Otsuka Pharmaceutical Co., Ltd Japan with our leading products Pocari Sweat, SOYJOY, ion water, Oronamin C, and Fibe Mini. Our philosophy is ""Otsuka-people creating new products for better health worldwide"".",pt amarta indah otsuka,"PT Amerta Indah Otsuka is affiliation from Otsuka Pharmaceutical Co., Ltd Japan with our leading products Pocari Sweat, SOYJOY, ion water, Oronamin C, and Fibe Mini. Our philosophy is ""Otsuka-people creating new products for better health worldwide"".",Match
pt. amerta indah otsuka,"PT Amerta Indah Otsuka is affiliation from Otsuka Pharmaceutical Co., Ltd Japan with our leading products Pocari Sweat, SOYJOY, ion water, Oronamin C, and Fibe Mini. Our philosophy is ""Otsuka-people creating new products for better health worldwide"".",pt amerta indah tuska,"PT Amerta Indah Otsuka is affiliation from Otsuka Pharmaceutical Co., Ltd Japan with our leading products Pocari Sweat, SOYJOY, ion water, Oronamin C, and Fibe Mini. Our philosophy is ""Otsuka-people creating new products for better health worldwide"".",Match
pt. amerta indah otsuka,"PT Amerta Indah Otsuka is affiliation from Otsuka Pharmaceutical Co., Ltd Japan with our leading products Pocari Sweat, SOYJOY, ion water, Oronamin C, and Fibe Mini. Our philosophy is ""Otsuka-people creating new products for better health worldwide"".",amerta indah otsuka,"Company overview
PT Amerta Indah Otsuka (AIO) is established in 1997, we are part of Otsuka Pharmaceutical Co. Ltd. with our leading products Pocari Sweat, SOYJOY, Ion Water, Oronamin C, and Fibe Mini. Our philosophy is creating new products for better health worldwide.",Match
pt. amerta indah otsuka,"PT Amerta Indah Otsuka is affiliation from Otsuka Pharmaceutical Co., Ltd Japan with our leading products Pocari Sweat, SOYJOY, ion water, Oronamin C, and Fibe Mini. Our philosophy is ""Otsuka-people creating new products for better health worldwide"".",amerta indah otska,"Company overview
PT Amerta Indah Otsuka (AIO) is established in 1997, we are part of Otsuka Pharmaceutical Co. Ltd. with our leading products Pocari Sweat, SOYJOY, Ion Water, Oronamin C, and Fibe Mini. Our philosophy is creating new products for better health worldwide.",Match
pt. amerta indah otsuka,"PT Amerta Indah Otsuka is affiliation from Otsuka Pharmaceutical Co., Ltd Japan with our leading products Pocari Sweat, SOYJOY, ion water, Oronamin C, and Fibe Mini. Our philosophy is ""Otsuka-people creating new products for better health worldwide"".",pt amerta indahotsuka,"PT Amerta Indah Otsuka is affiliation from Otsuka Pharmaceutical Co., Ltd Japan with our leading products Pocari Sweat, SOYJOY, ion water, Oronamin C, and Fibe Mini. Our philosophy is ""Otsuka-people creating new products for better health worldwide"".",Match
pt. amerta indah otsuka,"PT Amerta Indah Otsuka is affiliation from Otsuka Pharmaceutical Co., Ltd Japan with our leading products Pocari Sweat, SOYJOY, ion water, Oronamin C, and Fibe Mini. Our philosophy is ""Otsuka-people creating new products for better health worldwide"".",amerta indah otuka,"Company overview
PT Amerta Indah Otsuka (AIO) is established in 1997, we are part of Otsuka Pharmaceutical Co. Ltd. with our leading products Pocari Sweat, SOYJOY, Ion Water, Oronamin C, and Fibe Mini. Our philosophy is creating new products for better health worldwide.",Match
pt. amerta indah otsuka,"PT Amerta Indah Otsuka is affiliation from Otsuka Pharmaceutical Co., Ltd Japan with our leading products Pocari Sweat, SOYJOY, ion water, Oronamin C, and Fibe Mini. Our philosophy is ""Otsuka-people creating new products for better health worldwide"".",a.i. otsuka,"Ai Otsuka is a Japanese singer-songwriter from Suminoe-ku, Osaka, Japan. She is a popular artist on the Avex Trax label and is best known for her 2003 hit ...",Match
pt.enseval putera megatrading tbk,"PT Enseval Putera Megatrading Tbk is a general distributor dealing in pharmaceutical products, consumer products, and medical devices. It also acts as an agent and distributor of chemical raw materials for the pharmaceutical, cosmetics, and food industries.",pt enseval putera megatrading,"PT Enseval Putera Megatrading Tbk is a general distributor dealing in pharmaceutical products, consumer products, and medical devices. It also acts as an agent and distributor of chemical raw materials for the pharmaceutical, cosmetics, and food industries.",Match
pt.enseval putera megatrading tbk,"PT Enseval Putera Megatrading Tbk is a general distributor dealing in pharmaceutical products, consumer products, and medical devices. It also acts as an agent and distributor of chemical raw materials for the pharmaceutical, cosmetics, and food industries.",pt enseval puteramegatrading,"PT Enseval Putera Megatrading Tbk is a general distributor dealing in pharmaceutical products, consumer products, and medical devices. It also acts as an agent and distributor of chemical raw materials for the pharmaceutical, cosmetics, and food industries.",Match
pt.enseval putera megatrading tbk,"PT Enseval Putera Megatrading Tbk is a general distributor dealing in pharmaceutical products, consumer products, and medical devices. It also acts as an agent and distributor of chemical raw materials for the pharmaceutical, cosmetics, and food industries.",pt. enseval putra megatrading tbk,"PT Enseval Putera Megatrading Tbk is a general distributor dealing in pharmaceutical products, consumer products, and medical devices. It also acts as an agent and distributor of chemical raw materials for the pharmaceutical, cosmetics, and food industries.",Match
