c1,c1_context,c2,c2_context,match_type
b&q,,B and Q,,Match
b&q,,B&Q plc,,Match
b&q,,DIY B&Q,,Match
b&q,,B Q,,Match
b&q,,BandQ,,Match
b&q,,B and Q Ltd,,Match
b&q,,B n Q,,Match
telefónica uk,,Telefonica UK,,Match
telefónica uk,,Telefonica,,Match
telefónica uk,,telefonico UK,,Match
telefónica uk,,Telefonica Plc,,Match
telefónica uk,,Telefonica U.K.,,Match
telefónica uk,,Telefônica UK,,Match
telefónica uk,,Telefonika UK,,Match
sabmiller,,SAB Miller,,Match
sabmiller,,SAB-Miller,,Match
sabmiller,,SABM,,Match
sabmiller,,SABMiller plc,,Match
sabmiller,,SABMiller Ltd,,Match
sabmiller,,SABMiler,,Match
sabmiller,,SAB-M,,Match
foster wheeler,,Foster & Wheeler,,Match
foster wheeler,,Foster + Wheeler,,Match
foster wheeler,,Foster Wheeler AG,,Match
foster wheeler,,Foster Wheeler Inc,,Match
foster wheeler,,Foster Whlr,,Match
foster wheeler,,Foster Wheeler Ltd,,Match
foster wheeler,,Frster Wheeler,,Match
barclays wealth and investment management,,Barclays Wealth,,Match
barclays wealth and investment management,,Barclays Wealth & Investment,,Match
barclays wealth and investment management,,Barclays Wealth & Invest.,,Match
barclays wealth and investment management,,Barclays WIM,,Match
barclays wealth and investment management,,Barclays Wealth Mngmnt,,Match
barclays wealth and investment management,,BWIM,,Match
barclays wealth and investment management,,Barclays Wealth & Inv. Mngmnt,,Match
mec,,MEC Ltd,,Match
mec,,MEC Global,,Match
mec,,MEC Worldwide,,Match
mec,,MEC Inc,,Match
mec,,MediaEdge CIA,,Match
mec,,M E C,,Match
mec,,M.E.C,,Match
laing o'rourke,,LOR,,Match
laing o'rourke,,Laing ORourke,,Match
laing o'rourke,,Laing O'Rourke plc,,Match
laing o'rourke,,O'Rourke Laing,,Match
laing o'rourke,,Laing O Rourke,,Match
laing o'rourke,,Laing OR,,Match
laing o'rourke,,Laing O'Rorke,,Match
subsea 7,,Sub-sea 7,,Match
subsea 7,,Subsea Seven,,Match
subsea 7,,Subsea7,,Match
subsea 7,,SubSea7 Inc,,Match
subsea 7,,Subsea,,Match
subsea 7,,Subca 7,,Match
subsea 7,,SSubsea 7,,Match
nhs england,,NHS Eng.,,Match
nhs england,,NHSE,,Match
nhs england,,NHS England PLC,,Match
nhs england,,NHS-England,,Match
nhs england,,N.H.S England,,Match
nhs england,,NHS Enland,,Match
nhs england,,NHS Engand,,Match
edf energy,,EDF,,Match
edf energy,,E.D.F Energy,,Match
edf energy,,EDF Energey,,Match
edf energy,,EDFEnergy,,Match
edf energy,,Energey DF,,Match
edf energy,,EDFE,,Match
edf energy,,E.D.F. Energy,,Match
babcock international group,,Babcock Intl Group,,Match
babcock international group,,Babcock International,,Match
babcock international group,,Babcock Group,,Match
babcock international group,,Babcock I.G.,,Match
babcock international group,,Babcock I.G,,Match
babcock international group,,Babcock Int,,Match
babcock international group,,Babcock Interntl Group,,Match
barclaycard,,Barclay Card,,Match
barclaycard,,Barclaycard PLC,,Match
barclaycard,,Bcard,,Match
barclaycard,,Barclay crd,,Match
barclaycard,,Barclaycd,,Match
barclaycard,,Barclay Crd,,Match
barclaycard,,Barclaycard Ltd,,Match
university of sheffield,,University of Sheffield,,Match
university of sheffield,,university of sheffeld,,Match
university of sheffield,,univ. of sheffield,,Match
university of sheffield,,Uni Sheffield,,Match
university of sheffield,,Sheffield University,,Match
university of sheffield,,UOS,,Match
university of sheffield,,univesity of sheffield,,Match
carillion,,Carillion,,Match
carillion,,carilion,,Match
carillion,,carilion ltd,,Match
carillion,,carillion plc,,Match
carillion,,Carillion Ltd,,Match
carillion,,Carillon,,Match
carillion,,carilln,,Match
three.,,Three.,,Match
three.,,3.,,Match
three.,,three,,Match
three.,,Three UK,,Match
three.,,Three Mobile,,Match
three.,,three dot,,Match
hsbc commercial banking,,HSBC Commercial Banking,,Match
hsbc commercial banking,,HSBC,,Match
hsbc commercial banking,,Hsbc commercial banking,,Match
hsbc commercial banking,,HSBC Comm. Banking,,Match
hsbc commercial banking,,HSBC Bank,,Match
hsbc commercial banking,,HSBC Commercial,,Match
hsbc commercial banking,,H.S.B.C. Commercial Banking,,Match
river island,,River Island,,Match
river island,,RiverIsland,,Match
river island,,River Iland,,Match
river island,,rivr island,,Match
river island,,River,,Match
river island,,rivr islnad,,Match
river island,,River Isalnd,,Match
university of southampton,,University of Southampton,,Match
university of southampton,,university of soton,,Match
university of southampton,,university of southampoton,,Match
university of southampton,,soton university,,Match
university of southampton,,Southampton University,,Match
university of southampton,,Uni Southampton,,Match
university of southampton,,unvsty of sthampton,,Match
millicom,,Millicom,,Match
millicom,,Milicom,,Match
millicom,,millicon,,Match
millicom,,Millicom International,,Match
millicom,,Millicom LLC,,Match
millicom,,millicm,,Match
millicom,,milicomm,,Match
university of bristol,,University of Bristol,,Match
university of bristol,,Bristol University,,Match
university of bristol,,university of bristol,,Match
university of bristol,,univ of bristol,,Match
university of bristol,,Bristol Uni,,Match
university of bristol,,Uni Bristol,,Match
university of bristol,,Univ. Bristol,,Match
home retail group plc,,Home Retail Group PLC,,Match
home retail group plc,,Home Retail Group,,Match
home retail group plc,,home retail grp plc,,Match
home retail group plc,,HRG PLC,,Match
home retail group plc,,HRG,,Match
home retail group plc,,HRG plc,,Match
home retail group plc,,Home Retail Grp PLC,,Match
harrods,,Harrods,,Match
harrods,,Harods,,Match
harrods,,Harrrods,,Match
harrods,,Harrod's,,Match
harrods,,Harrds,,Match
harrods,,Hharrods,,Match
harrods,,Harrold's,,Match
virgin active,,Virgin Active,,Match
virgin active,,VirginAct.,,Match
virgin active,,Virgin Acitve,,Match
