company_name,alias_company_name,match_type
company_name,alias_company_name,match_type
anz,ANZ,Match
anz,Australian New Zealand Banking Group,Match
anz,A.N.Z.,Match
anz,ANZ Bank,Match
anz,Anz,Match
anz,ANZ Banking Group,Match
anz,anz bank,Match
fujitsu,Fujutsu,Match
fujitsu,Fujtisu,Match
fujitsu,Fujuso,Match
fujitsu,Fujitsu Ltd.,Match
fujitsu,Fujitzu,Match
fujitsu,FUJITSU,Match
fujitsu,Fuitsu,Match
telstra,Telsta,Match
telstra,Telstr,Match
telstra,Telstra Corporation,Match
telstra,Telestra,Match
telstra,Telsra,Match
telstra,TELSTRA,Match
telstra,Telster,Match
commonwealth bank,CommBank,Match
commonwealth bank,Commonwealthbank,Match
commonwealth bank,Commonwealth Bank of Australia,Match
commonwealth bank,Commonwealt Bank,Match
commonwealth bank,Come Wealth Bank,Match
commonwealth bank,Commonwelth Bank,Match
commonwealth bank,CBA,Match
national australia bank,NAB,Match
national australia bank,National Australia Bank Limited,Match
national australia bank,National Australian Bank,Match
national australia bank,Ntl. Australia Bank,Match
national australia bank,Naional Australian Bank,Match
national australia bank,N A B,Match
national australia bank,National Austrlia Bank,Match
bhp billiton,BHP Billiton Ltd.,Match
bhp billiton,BHP,Match
bhp billiton,BHB Billiton,Match
bhp billiton,BHPB,Match
bhp billiton,BHP-Billiton,Match
bhp billiton,Billiton BHP,Match
bhp billiton,BHPBilliton,Match
worleyparsons,Worley Parsons,Match
worleyparsons,Worley,Match
worleyparsons,WorleyParson,Match
worleyparsons,Worley Parson,Match
worleyparsons,WorleyParsons Ltd.,Match
worleyparsons,Woly Parsons,Match
worleyparsons,Wrley Parsons,Match
macquarie group,Macquarie,Match
macquarie group,Macquarie Group Limited,Match
macquarie group,Mac Group,Match
macquarie group,MacquarieGrp,Match
macquarie group,Maquarie Group,Match
macquarie group,Macqurie Group,Match
macquarie group,Macquarie Grp,Match
lendlease,Lend Lease,Match
lendlease,Lendlease Group,Match
lendlease,Lndlease,Match
lendlease,LendLease,Match
lendlease,Lend-Lease,Match
lendlease,LendLease Ltd.,Match
lendlease,Lendlease Pty Ltd.,Match
queensland health,Qld Health,Match
queensland health,Queensland Health Department,Match
queensland health,QLD Health,Match
queensland health,QueenslandHealth,Match
queensland health,Queensland Halth,Match
queensland health,Queensland Health Services,Match
queensland health,Queensland Hlt,Match
monash university,Monash Uni,Match
monash university,Monash Univ,Match
monash university,Monash U,Match
monash university,MonashUniversity,Match
monash university,Monash Univ.,Match
monash university,Munash University,Match
monash university,Monas University,Match
university of melbourne,University of Melborne,Match
university of melbourne,University Melbourne,Match
university of melbourne,UniversityMelbourne,Match
university of melbourne,UniMelb,Match
university of melbourne,Uni. Melb.,Match
university of melbourne,University Melb.,Match
university of melbourne,University of Mlb.,Match
iss facility services a/s,ISS Facility Services,Match
iss facility services a/s,ISS Services,Match
iss facility services a/s,ISS Facility,Match
iss facility services a/s,ISS Svc,Match
iss facility services a/s,ISS Facility Srvces,Match
iss facility services a/s,ISS Facility Svcs,Match
iss facility services a/s,ISS Facility Svc A/S,Match
optus,Optus Pty Limited,Match
optus,Optis,Match
optus,Optu,Match
optus,Optus Telecommunications,Match
optus,Optuss,Match
optus,OPTUS,Match
optus,Optus Telecom,Match
university of sydney,Univ of Sydney,Match
university of sydney,UniSydney,Match
university of sydney,UniSydney,Match
university of sydney,University Sydney,Match
university of sydney,University Sydney,Match
university of sydney,Uni Sydney,Match
university of sydney,U Sydney,Match
the university of queensland,University of Queensland,Match
the university of queensland,U of Queensland,Match
the university of queensland,The Univ. of Queensland,Match
the university of queensland,The Uni. of Queensland,Match
the university of queensland,Univ Queensland,Match
the university of queensland,Uni Queensland,Match
the university of queensland,University Queensland,Match
nsw department of education and communities,NSW Department of Education,Match
nsw department of education and communities,NSW Dept of Education,Match
nsw department of education and communities,NSW Education Dept,Match
nsw department of education and communities,NSW Department Education,Match
nsw department of education and communities,N.S.W. Department of Education,Match
nsw department of education and communities,NSW Dept Education,Match
nsw department of education and communities,NSW Education,Match
unsw,UNSW Sydney,Match
unsw,University of New South Wales,Match
unsw,UNSW AU,Match
unsw,University of NSW,Match
unsw,UN.S.W.,Match
unsw,U of NSW,Match
unsw,UNSW University,Match
rmit university,RMIT,Match
rmit university,RMIT Uni,Match
rmit university,RMIT Univ,Match
rmit university,RMIT University Australia,Match
rmit university,RMITUniversity,Match
rmit university,RMIT Univ.,Match
rmit university,R.M.I.T. University,Match
deloitte australia,Deloitte,Match
deloitte australia,Deloitte Pty Ltd,Match
deloitte australia,Dloitte,Match
deloitte australia,Deloitte Austral.,Match
deloitte australia,Deloitte Aust,Match
deloitte australia,Deloitte AU,Match
deloitte australia,Deloitte LLT,Match
company_name,alias_company_name,match_type
flight centre,Flight Center,Match
flight centre,Flight Ctr,Match
flight centre,FlightCentre,Match
flight centre,Flight Centeer,Match
flight centre,Flt Centre,Match
flight centre,Fight Centre,Match
flight centre,FlightCenter,Match
australia post,AustraliaPost,Match
australia post,AusPost,Match
australia post,Australian Post,Match
australia post,Australia pst,Match
australia post,AusPost Ltd,Match
australia post,Australia Posts,Match
australia post,Australia Poast,Match
ghd,GHD Group,Match
ghd,G H D,Match
ghd,GHD Pty Ltd,Match
ghd,GHd,Match
ghd,ghd pty,Match
ghd,g.h.d.,Match
ghd,GHD PL,Match
leighton contractors,Leighton,Match
leighton contractors,Leighton Constr,Match
leighton contractors,LeightonContractors,Match
leighton contractors,Leyton Contractors,Match
leighton contractors,Leighten Contractors,Match
leighton contractors,Lt Contractors,Match
leighton contractors,Lighton Contractors,Match
amp,AMP Limited,Match
amp,AMP Ltd,Match
amp,A.M.P.,Match
amp,A M P,Match
amp,AMPLtd,Match
amp,amp,Match
amp,AMP Financial,Match
københavns kommune,Kobenhavns Kommune,Match
københavns kommune,Kobenhavn Kommune,Match
københavns kommune,Copenhagen Municipality,Match
københavns kommune,Kobenhavns,Match
københavns kommune,Kobenhavns Mun.,Match
københavns kommune,Köbenhavn Kommune,Match
københavns kommune,KBH Kommune,Match
iag,IAG Ltd,Match
iag,IAG Limited,Match
iag,Insurance Australia Group,Match
iag,Int'l Airlines Group,Match
iag,IAGL,Match
iag,I A G,Match
iag,Insurance Aust Group,Match
queensland university of technology,QLD University of Technology,Match
queensland university of technology,Queensland Univ of Tech,Match
queensland university of technology,Queensland U of Tech,Match
queensland university of technology,QUT,Match
queensland university of technology,Queensland U Technology,Match
queensland university of technology,Queensland U of Tech,Match
queensland university of technology,QLD Uni of Tech,Match
coca-cola amatil,Coca Cola Amatil,Match
coca-cola amatil,Coke Amatil,Match
coca-cola amatil,CocaCola Amatil,Match
coca-cola amatil,CocaCola Amatel,Match
coca-cola amatil,Coca-ColaAmatil,Match
coca-cola amatil,Coca-Cola AMTL,Match
coca-cola amatil,CCA,Match
